"LocationKey","Lat","Long","crime.weight.theft","crime.weight.vehicle","crime.weight.violent"
324,51.49483997,-0.1313969,94.8553161557529,95.3746448415587,94.8246828711074
325,51.49482286,-0.12999099,95.2698862693952,95.0396503207972,94.4021200260975
326,51.49493595,-0.13105183,94.8614710335351,95.1912354192949,94.6119867011521
327,51.49490592,-0.127304,94.2705834474862,92.6102969705659,91.9846293655779
328,51.49491456,-0.12847134,94.8986221706013,93.8549519916355,93.1333862920864
329,51.49568221,-0.13085757,93.7277989209833,93.9109371057066,93.2679704527052
330,51.49521879,-0.13077093,94.5197945462493,94.6836336576877,94.0668057804091
331,51.49518939,-0.13189529,94.0453233498311,94.808055570963,94.2673015483554
332,51.49625666,-0.13265067,91.6508121833832,92.7448620992592,92.184258862015
333,51.49534169,-0.12895263,94.3797774727215,93.570165109344,92.8372561125173
334,51.49535971,-0.12692684,93.2731433535509,91.3919615525364,90.9085069325612
335,51.49589898,-0.12790457,93.0264690685534,91.6336985432139,90.8142345661505
336,51.49628144,-0.12679371,91.548417229474,89.5497880762021,89.108988724157
337,51.49567859,-0.12734079,93.0593779719468,91.3803738125718,90.5984419855817
338,51.49601323,-0.12601662,91.3570162940778,88.8907230355734,90.4260407740916
339,51.49609406,-0.12590841,91.1861803159413,88.5637066905911,90.3581569705754
340,51.49673137,-0.12778734,91.3859058749779,89.8870996098979,88.9997680072391
341,51.4969857,-0.12697614,90.3061350171806,88.3658419640927,87.5328093677623
342,51.49690787,-0.13020932,91.5598584558807,91.3292136648391,90.5646091608476
343,51.4970614,-0.12664118,89.8615078703409,87.7404034884088,87.5001615648305
344,51.49738703,-0.12663719,89.1587067140454,87.0175074963688,86.7268688801083
345,51.49787597,-0.12838454,89.1885108783939,87.9403812810945,87.0083711221039
346,51.4970458,-0.13042263,91.2379242906365,91.1116754949683,90.3513607844618
347,51.49804573,-0.1306549,88.9428242445224,88.8790470927521,88.0704296206954
348,51.49754393,-0.13339931,88.2949872474974,89.6987996440118,89.1113538064014
349,51.49722974,-0.13231765,89.957603967369,90.8161901522081,90.1681379790104
350,51.49777913,-0.13242858,88.6493390441931,89.5316119382602,88.8564437228847
351,51.49600579,-0.13534248,88.7944388414866,91.5796864575136,91.7408001975117
352,51.49349175,-0.13739604,90.7817151853243,96.5377246983352,96.3848240101397
353,51.49578309,-0.1354115,89.0739419643516,92.0305371700427,92.1719180753629
354,51.49494383,-0.13628447,88.8799591047106,94.0244966409252,93.646030201404
355,51.49448497,-0.13655938,89.0009527890151,94.8932309048246,94.5183340526291
357,51.49558785,-0.1367711,87.1188768494625,93.0521386269348,92.8810541283289
358,51.49669558,-0.13577867,86.7571865088236,90.3362570921152,90.1690564651655
359,51.49684288,-0.13651772,85.7069121700002,90.3668019545563,90.2441994260001
360,51.49670203,-0.13861263,90.7607718547171,90.8460036167137,91.6048440394352
361,51.49546248,-0.13755347,88.9627855326679,93.4416623672475,93.5908482462448
362,51.49407133,-0.13795548,91.039946899485,95.7619773391639,95.9232742645787
363,51.49443005,-0.13903507,92.4032046540226,95.0078936827531,95.6876099916667
364,51.49536287,-0.13786905,89.7240375506518,93.6367879656546,93.9113442511761
365,51.49654806,-0.13702828,87.2023616157961,91.175409919692,91.2299928931491
366,51.49517554,-0.13835651,90.8471121199898,93.9347861480588,94.4002578341938
367,51.49622931,-0.13941455,92.603433719105,91.5821360495592,92.6359081018276
368,51.49440668,-0.13997333,94.0254874576853,94.5826324467211,95.6869039430789
369,51.49605383,-0.14049683,94.5276241059283,91.2715763471111,92.8256308598157
370,51.49715052,-0.14288397,96.7436481752014,92.6460790105957,96.5580011119649
371,51.49829381,-0.1400786,92.1299788051665,86.3421612702809,92.0319046017935
372,51.49865218,-0.14134694,93.5909100574663,87.9566015053982,94.3901674509573
373,51.49804938,-0.13989887,92.086054088187,87.0827321185945,91.6561240549508
374,51.49745364,-0.13954002,92.0113256670124,88.7714140412578,90.813810929383
375,51.49920895,-0.14044607,91.5963064308762,86.3880086069451,92.6198773339775
376,51.49865838,-0.14060281,92.5410665492185,86.2782891082602,93.0427647452246
377,51.4995978,-0.14202809,93.1354047734986,89.7615904321212,95.227035004993
378,51.49890606,-0.13752531,86.2478538838204,85.3615877391311,86.024714517782
379,51.49861878,-0.13475001,84.0400965751293,86.0770693308677,85.6650841791623
380,51.49946607,-0.13308028,83.7902071008303,84.9051290686218,84.1744100092737
381,51.49975287,-0.13264293,83.3720397440721,84.2409193428392,83.4627872802767
382,51.49976454,-0.13158587,84.0588088110363,84.3757333870791,83.5255239939355
383,51.49976454,-0.13158587,84.0588088110363,84.3757333870791,83.5255239939355
384,51.50030759,-0.1301167,82.9223691904673,82.4367230445641,81.463137687554
385,51.50077866,-0.13111261,81.2179892039445,81.2230280588212,80.2862081143399
386,51.50059871,-0.13228672,81.1233761923688,81.7522212420942,80.9026615557911
387,51.50059122,-0.13278848,80.743908321324,81.6343146874064,80.8197341850378
388,51.50056467,-0.13333877,80.3011458953295,81.4791872250593,80.7053680382459
389,51.50052623,-0.13301648,80.738165363992,81.7513178008671,80.9563403134268
390,51.52289106,-0.15932233,87.7057714322884,89.5041118258075,89.561424647192
391,51.52395914,-0.15795892,85.7246932089236,85.9571309894583,86.6090869708941
392,51.52251198,-0.15893508,88.8724034327218,90.1750392071639,90.3187983121555
393,51.52423332,-0.1596389,83.8247399741577,86.2310322878009,86.2927396065469
394,51.52255065,-0.16097251,87.7912100165381,90.6326191120479,90.6386594175323
396,51.52319427,-0.16054153,86.2498706579617,89.1136307103049,89.1363193408952
397,51.52262104,-0.16102364,87.5974867064045,90.4718740045901,90.4795919577333
398,51.52187129,-0.16128923,89.334096209225,92.0691879756004,92.0598550797469
399,51.52318799,-0.16189203,85.7658039180554,88.9926533231714,89.0160188895952
400,51.52512383,-0.16280876,79.5243734246512,83.3659558530917,83.4491640780104
401,51.52406327,-0.16286361,82.8422363815411,86.3339720493892,86.3853731048913
402,51.52513176,-0.16020497,80.6931543846843,83.8228671991973,83.9022989236109
405,51.52498936,-0.16490565,79.7905727656017,82.6148570137823,82.0560573315708
406,51.52170089,-0.16358118,89.1904194612516,91.4451807305289,91.3807607488288
407,51.52276468,-0.164251,86.4629211749754,88.8600898550834,88.5332576452582
408,51.52363954,-0.16491541,83.9548296808982,86.5528510928584,85.7352367787296
409,51.52289634,-0.16474851,86.0347216080562,88.5122070324467,87.7383778612324
410,51.52195321,-0.16427731,88.5314892145057,90.7585663689737,90.2895422632656
411,51.52190257,-0.16462736,88.5934138515168,90.8748713675544,90.0757541095066
412,51.52174172,-0.16221737,89.2249574212198,92.0937147849146,92.0843658306651
413,51.52263063,-0.16592032,87.0790316864666,88.9488836801762,87.1317437685327
414,51.52224408,-0.16649014,88.2550952635262,89.6223861395865,87.4426639540281
415,51.52054613,-0.17030851,91.3793710030496,92.5574901085015,85.7655203607583
416,51.52074159,-0.16964177,91.0808336249383,91.7489392835773,86.5565433094448
417,51.52216936,-0.16546529,88.0332851559199,90.1775607680788,88.6839841151829
418,51.52175676,-0.1707353,89.5724066691576,90.2425573974026,83.3134903907348
419,51.5231607,-0.16831193,85.9086021273396,85.9385037844372,82.8104789289137
420,51.52318781,-0.17196698,87.5080289073494,87.0220458498096,81.6802959654508
421,51.52294895,-0.17151125,87.71170970165,87.590767348827,81.6243452346594
422,51.52278921,-0.17343751,89.2567577130558,87.8420452622497,84.6633230088709
423,51.52453417,-0.16881631,81.7402167431553,81.6997603545342,78.0536707867796
424,51.52381073,-0.16986576,83.7544948136868,84.5311509652286,78.4806136218646
425,51.52385919,-0.16963803,83.4766104916578,84.2322863180851,78.7401617331815
